gh-username,height,wakeup time,semesters-left,hometown-distance
almesa29,170.69 cm,0815 hours,2 semesters,45.7 km
bmanders716,162.56 cm,0730 hours,2 semesters,14.9669 km
deepdawg,169 cm,0600 hours,0 semesters,193 km
ehood34,181.61 cm,0907 hours,5 semesters,224.66 km
gao14g,160.02 cm,0900 hours,6 semesters,147.42 km
jdmar3,175.26 cm,0645 hours,3 semesters,1129.3 km
jzbonner,170.18 cm,0830 hours,2 semesters,616.68 km
millsjb,155.45 cm,0930 hours,2 semesters,194.1 km
pperdomo,157.48 cm,0844 hours,3 semesters,59.1 km
rcmetcalf,157.48 cm,0745 hours,4 semesters,228.53 km
tgram,168.91 cm,0915 hours,4 semesters,233.9 km
